name,surname,country,email
Reinaldo,Porto,Brazil,reinaldo.porto@example.com
Jeanette,Morris,United States,jeanette.morris@example.com
Veera,Perko,Finland,veera.perko@example.com
Mira,Araújo,Brazil,mira.araujo@example.com
Leone,Costa,Brazil,leone.costa@example.com
Ramon,Gutierrez,United States,ramon.gutierrez@example.com
Arnim,Michl,Germany,arnim.michl@example.com
Lejla,Martin,Switzerland,lejla.martin@example.com
Karla,Pedersen,Denmark,karla.pedersen@example.com
Ediane,Almeida,Brazil,ediane.almeida@example.com
